VIN,Make,Manufacturer Name,Model,Model Year,Plant City,Vehicle Type,Plant Country,Plant State,Body Class,Gross Vehicle Weight Rating From,Cab Type,Trailer Type Connection,Trailer Body Type,Drive Type,Brake System Type,Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Engine Power (kW),Fuel Type - Primary,Valve Train Design,Engine Configuration,Engine Brake (hp) From,Engine Brake (hp) To,Other Engine Info,Engine Manufacturer,Seat Belt Type,Front Air Bag Locations,NCSA Body Type,NCSA Make,NCSA Model,Bus Floor Configuration Type,Bus Type,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Braking Assist,Blind Spot Monitoring,Adaptive Cruise Control,Lane Keep Assist,Lane Departure Warning,Automatic Breaking
5XYPGDA39GG165334,KIA,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Sorento,2016,,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),GEORGIA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,,2400,146.4569858,2.4,,Gasoline,Dual Overhead Cam (DOHC),,,,,,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),KIA,Sorento,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
5YFBURHE4KP912480,TOYOTA,"TOYOTA MOTOR MANUFACTURING, MISSISSIPPI, INC.",Corolla,2019,,PASSENGER CAR,UNITED STATES (USA),MISSISSIPPI,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,4x2,,4,1798,109.8427394,1.8,98.4324,Gasoline,Dual Overhead Cam (DOHC),In-Line,132,148,,Toyota,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Toyota,Corolla,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
2MEFM75W54X683307,MERCURY,"FORD MOTOR COMPANY OF CANADA, LTD.",Grand Marquis,2004,TALBOTVILLE,PASSENGER CAR,CANADA,ONTARIO,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,,,8,4600,280.7092228,4.6,167.0368,Gasoline,Single Overhead Cam (SOHC),V-Shaped,224,,,Ford,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Mercury,Marquis/Monterey (car version; for van version 2004 on see code 444) /Grand Marquis,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
JTJYARBZXF2003238,LEXUS,TOYOTA MOTOR CORPORATION,NX,2015,KYUSHU,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,Not Applicable,Not Applicable,4x2,,4,2000,122.0474882,2,,Gasoline,,In-Line,,,PORT+DIRECT,,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Lexus,NX,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
3N1BC13E78L422832,NISSAN,"NISSAN MEXICANA, S.A. DE C.V.",Versa,2008,,PASSENGER CAR,MEXICO,,Hatchback/Liftback/Notchback,,Not Applicable,Not Applicable,Not Applicable,4x2,,4,1800,109.8427394,1.8,90.9754,Gasoline,,,122,,,,Manual,1st Row (Driver and Passenger),5-door/4-door hatchback,Nissan/Datsun,Versa,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
4T1BE32K74U349063,TOYOTA,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Camry,2004,,PASSENGER CAR,UNITED STATES (USA),KENTUCKY,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,4x2,,4,2362,146.4569858,2.4,117.0749,Gasoline,Dual Overhead Cam (DOHC),In-Line,157,170,"Horsepower: 149 hp, 160 hp, 162 hp, 170 hp",Toyota,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Toyota,Camry,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
1FMCU9G9XEUA94958,FORD,"FORD MOTOR COMPANY, USA",Escape,2014,LOUISVILLE,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),KENTUCKY,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,4,2000,122.0474882,2,178.968,Gasoline,,In-Line,240,,Ti-VCT  Premium Fuel,Ford,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Ford,Escape,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
WVWJM7AN9AE164105,VOLKSWAGEN,"VOLKSWAGEN GROUP OF AMERICA, INC.",Passat,2010,EMDEN,PASSENGER CAR,GERMANY,,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,,,4,1984,121.0711083,1.984,149.14,Gasoline,,,200,,50-St. BIN 3/PZEV  emission. Emissions Certification Test Group: AVWXV02.03PA.,Volkswagen,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Volkswagen,Passat (CC - 2008 thru 2011; see 052 for 2012 on),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
JM3KFADM0L0763934,MAZDA,MAZDA MOTOR CORPORATION,CX-5,2020,HIROSHIMA,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Not Applicable,Not Applicable,4x2,,4,2500,152.5593602,2.5,139.4459,Gasoline,Dual Overhead Cam (DOHC),In-Line,187,,,Mazda,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Mazda,CX5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
JTJJM7FX0F5101425,LEXUS,TOYOTA MOTOR CORPORATION,GX,2015,TAHARA,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,AICHI,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,8,4600,280.7092228,4.6,224.4557,Gasoline,,V-Shaped,301,,PORT,,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Lexus,GX460,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0
